Data Medicao,RADIACAO GLOBAL MÁXIMA(Kj/m²)
2010-01-18,3592.585
2010-01-19,3846.1
2010-01-20,2228.391
2010-01-21,3834.012
2010-01-22,3047.795
2010-01-23,2199.664
2010-01-24,3637.778
2010-01-25,3507.513
2010-01-26,3421.91
2010-01-27,3212.992
2010-01-28,3540.142
2010-01-29,3579.341
2010-01-30,3538.398
2010-01-31,3298.639
2010-02-01,2750.754
2010-02-02,2637.459
2010-02-03,3501.312
2010-02-04,3136.534
2010-02-05,3494.042
2010-02-06,3446.684
2010-02-07,3517.43
2010-02-08,3544.289
2010-02-09,3254.494
2010-02-10,2334.503
2010-02-11,3775.44
2010-02-12,3256.827
2010-02-13,3913.137
2010-02-14,3474.284
2010-02-15,2466.568
2010-02-16,3539.111
2010-02-17,2396.535
2010-02-18,2196.944
2010-02-19,3221.423
2010-02-20,3183.413
2010-02-21,3658.391
2010-02-22,1849.895
2010-02-23,3259.426
2010-02-24,3652.99
2010-02-25,3786.746
2010-02-26,3722.543
2010-02-27,3823.626
2010-02-28,3703.226
2010-03-01,3798.194
2010-03-02,3958.372
2010-03-03,3751.87
2010-03-04,3931.072
2010-03-05,3819.145
2010-03-06,3489.309
2010-03-07,3869.03
2010-03-08,3741.477
2010-03-09,3563.316
2010-03-10,3784.616
2010-03-11,3927.728
2010-03-12,3785.161
2010-03-13,3729.506
2010-03-14,3000.444
2010-03-15,3810.327
2010-03-16,2823.579
2010-03-17,3168.912
2010-03-18,3583.905
2010-03-19,3786.229
2010-03-20,2320.929
2010-03-21,2573.597
2010-03-22,2738.056
2010-03-23,3696.908
2010-03-24,3272.294
2010-03-25,2653.363
2010-03-26,3365.407
2010-03-27,2818.188
2010-03-28,2881.774
2010-03-29,3083.596
2010-03-30,3626.593
2010-03-31,3194.196
2010-04-01,3495.035
2010-04-02,3246.142
2010-04-03,2942.176
2010-04-04,3298.239
2010-04-05,3080.786
2010-04-06,3393.852
2010-04-07,3431.493
2010-04-08,3222.24
2010-04-09,1380.501
2010-04-10,1370.243
2010-04-11,3381.36
2010-04-12,3552.637
2010-04-13,3268.495
2010-04-14,2820.266
2010-04-15,3034.086
2010-04-16,3361.936
2010-04-17,2495.922
2010-04-18,1436.735
2010-04-19,3053.362
2010-04-20,2574.438
2010-04-21,2190.729
2010-04-22,3088.383
2010-04-23,3111.592
2010-04-24,3621.157
2010-04-25,3294.872
2010-04-26,3491.753
2010-04-27,3297.474
2010-04-28,3523.845
2010-04-29,3095.419
2010-04-30,3474.339
2010-05-01,3479.772
2010-05-02,3312.596
2010-05-03,3283.145
2010-05-04,3038.636
2010-05-05,2412.684
2010-05-06,2910.87
2010-05-07,3350.454
2010-05-08,2869.134
2010-05-09,3451.31
2010-05-10,3340.017
2010-05-11,3360.165
2010-05-12,3041.06
2010-05-13,3144.559
2010-05-14,3113.078
2010-05-15,3053.014
2010-05-16,3347.824
2010-05-17,2739.479
2010-05-18,2908.364
2010-05-19,3005.545
2010-05-20,3199.056
2010-05-21,3072.424
2010-05-22,3138.909
2010-05-23,2842.52
2010-05-24,2968.294
2010-05-25,2304.466
2010-05-26,3089.8
2010-05-27,3231.616
2010-05-28,3219.876
2010-05-29,2961.159
2010-05-30,3198.839
2010-05-31,1318.414
2010-06-01,3278.929
2010-06-02,3097.794
2010-06-03,3027.196
2010-06-04,1489.443
2010-06-05,2108.15
2010-06-06,3052.542
2010-06-07,3158.188
2010-06-08,3101.996
2010-06-09,3220.734
2010-06-10,2881.309
2010-06-11,2912.129
2010-06-12,3036.155
2010-06-13,2133.141
2010-06-14,1334.222
2010-06-15,-2.155
2010-06-16,2329.467
2010-06-17,1632.817
2010-06-18,2960.004
2010-06-19,3159.746
2010-06-20,3025.148
2010-06-21,2886.497
2010-06-22,3196.936
2010-06-23,2984.912
2010-06-24,3261.264
2010-06-25,2785.59
2010-06-26,3141.088
2010-06-27,3122.384
2010-06-28,1715.435
2010-06-29,2820.33
2010-06-30,1875.802
2010-07-01,
2010-07-02,2111.607
2010-07-03,2585.178
2010-07-04,3191.417
2010-07-05,3110.951
2010-07-06,3195.488
2010-07-07,2543.36
2010-07-08,3226.721
2010-07-09,
2010-07-10,2690.063
2010-07-11,2875.47
2010-07-12,2951.666
2010-07-13,3147.765
2010-07-14,2981.044
2010-07-15,3083.623
2010-07-16,
2010-07-17,
2010-07-18,2935.237
2010-07-19,3277.099
2010-07-20,3329.121
2010-07-21,2480.817
2010-07-22,
2010-07-23,2586.858
2010-07-24,2392.43
2010-07-25,1769.246
2010-07-26,2202.446
2010-07-27,2235.409
2010-07-28,3179.966
2010-07-29,3271.201
2010-07-30,3154.61
2010-07-31,1758.267
2010-08-01,3175.437
2010-08-02,1770.142
2010-08-03,2820.987
2010-08-04,3243.284
2010-08-05,2695.01
2010-08-06,1660.362
2010-08-07,3044.71
2010-08-08,3483.86
2010-08-09,1586.769
2010-08-10,3452.789
2010-08-11,3358.141
2010-08-12,2195.624
2010-08-13,3378.272
2010-08-14,3353.319
2010-08-15,3515.317
2010-08-16,3374.335
2010-08-17,3414.668
2010-08-18,2817.66
2010-08-19,3176.595
2010-08-20,3403.362
2010-08-21,3003.777
2010-08-22,2115.526
2010-08-23,2939.332
2010-08-24,3184.179
2010-08-25,3057.891
2010-08-26,3013.542
2010-08-27,3389.012
2010-08-28,3119.058
2010-08-29,2986.49
2010-08-30,3480.526
2010-08-31,3327.77
2010-09-01,3456.728
2010-09-02,3127.824
2010-09-03,3523.08
2010-09-04,2632.313
2010-09-05,3768.881
2010-09-06,3626.203
2010-09-07,3527.74
2010-09-08,2558.633
2010-09-09,1942.836
2010-09-10,3191.111
2010-09-11,3374.111
2010-09-12,3454.908
2010-09-13,3506.624
2010-09-14,3207.66
2010-09-15,3381.65
2010-09-16,3625.393
2010-09-17,3614.142
2010-09-18,3550.173
2010-09-19,1922.829
2010-09-20,3145.714
2010-09-21,3091.992
2010-09-22,3472.116
2010-09-23,3638.426
2010-09-24,3094.747
2010-09-25,3590.027
2010-09-26,3196.085
2010-09-27,3415.241
2010-09-28,2970.041
2010-09-29,3585.225
2010-09-30,3818.028
2010-10-01,3328.173
2010-10-02,3662.769
2010-10-03,3586.414
2010-10-04,3656.471
2010-10-05,3637.326
2010-10-06,3482.908
2010-10-07,3813.692
2010-10-08,3641.501
2010-10-09,3854.352
2010-10-10,3619.647
2010-10-11,3207.611
2010-10-12,2853.254
2010-10-13,3518.278
2010-10-14,3345.274
2010-10-15,3623.804
2010-10-16,3014.749
2010-10-17,3319.407
2010-10-18,3681.362
2010-10-19,3755.382
2010-10-20,3898.112
2010-10-21,3661.462
2010-10-22,3289.239
2010-10-23,756.341
2010-10-24,3384.552
2010-10-25,2975.915
2010-10-26,3875.555
2010-10-27,3012.799
2010-10-28,3802.437
2010-10-29,3680.738
2010-10-30,3476.831
2010-10-31,3841.392
2010-11-01,3794.802
2010-11-02,3675.795
2010-11-03,2996.631
2010-11-04,3274.497
2010-11-05,3131.019
2010-11-06,3647.795
2010-11-07,3264.618
2010-11-08,3572.902
2010-11-09,3810.007
2010-11-10,3098.49
2010-11-11,2994.694
2010-11-12,3753.424
2010-11-13,3790.738
2010-11-14,3412.435
2010-11-15,3436.691
2010-11-16,3816.904
2010-11-17,3906.291
2010-11-18,3787.401
2010-11-19,2758.103
2010-11-20,3913.158
2010-11-21,3740.433
2010-11-22,3344.825
2010-11-23,2545.866
2010-11-24,3620.822
2010-11-25,4067.293
2010-11-26,3363.456
2010-11-27,3848.758
2010-11-28,3828.769
2010-11-29,3197.718
2010-11-30,3466.825
2010-12-01,3629.281
2010-12-02,3455.519
2010-12-03,3542.769
2010-12-04,3264.793
2010-12-05,3116.459
2010-12-06,3744.872
2010-12-07,3509.498
2010-12-08,3358.617
2010-12-09,3474.349
2010-12-10,2379.662
2010-12-11,3601.081
2010-12-12,3799.752
2010-12-13,3669.449
2010-12-14,3480.302
2010-12-15,3679.3
2010-12-16,2655.338
2010-12-17,3345.318
2010-12-18,3218.821
2010-12-19,2964.609
2010-12-20,3360.237
2010-12-21,3358.841
2010-12-22,2703.186
2010-12-23,2804.548
2010-12-24,2712.024
2010-12-25,3594.922
2010-12-26,3326.901
2010-12-27,3548.449
2010-12-28,3863.366
2010-12-29,3764.062
2010-12-30,3444.212
2010-12-31,3415.802
2011-01-01,3025.728
2011-01-02,3245.421
2011-01-03,3441.058
2011-01-04,2915.362
2011-01-05,3649.518
2011-01-06,2333.865
2011-01-07,3681.052
2011-01-08,3588.455
2011-01-09,3480.682
2011-01-10,3045.158
2011-01-11,3127.989
2011-01-12,3330.021
2011-01-13,3615.055
2011-01-14,2991.034
2011-01-15,3735.61
2011-01-16,3618.044
2011-01-17,3052.359
2011-01-18,3688.828
2011-01-19,2960.514
2011-01-20,2911.701
2011-01-21,3366.828
2011-01-22,2706.343
2011-01-23,2715.044
2011-01-24,1714.466
2011-01-25,3327.79
2011-01-26,3887.274
2011-01-27,3228.628
2011-01-28,3764.469
2011-01-29,3605.735
2011-01-30,2959.78
2011-01-31,3726.569
2011-02-01,3250.481
2011-02-02,3281.942
2011-02-03,3436.374
2011-02-04,3647.857
2011-02-05,3187.481
2011-02-06,3225.66
2011-02-07,3744.424
2011-02-08,3876.613
2011-02-09,3733.001
2011-02-10,2940.38
2011-02-11,3150.533
2011-02-12,3269.271
2011-02-13,2632.33
2011-02-14,3820.596
2011-02-15,3427.505
2011-02-16,2942.11
2011-02-17,3466.187
2011-02-18,3898.394
2011-02-19,3331.961
2011-02-20,983.777
2011-02-21,3621.791
2011-02-22,3766.968
2011-02-23,3036.179
2011-02-24,3438.346
